技術スキル,その他特徴,金額,要約
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory","外国籍可, 大規模ユーザー環境, 基盤運用・保守, 長期安定案件, 神谷町勤務, 即日～長期, 2名募集, 国籍・年齢不問, 大規模更新時に休日作業の可能性あり, パッチ対応等の夜間作業あり",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守／更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。エンドユーザー向けクライアント環境の運用・保守、VDI環境の更新、OS/アプリの更新、権限管理、障害対応、更改プロジェクト支援など。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, Active Directory",大規模クライアント基盤の運用・保守・更改、外国籍・年齢不問、長期、2名募集、神谷町勤務、休日・夜間作業可能性あり,スキル見合い（75万）,EBAテックからの注力案件。大規模クライアント基盤（仮想デスクトップ、Windowsクライアント）の運用・保守・更改案件で、Windowsサーバ構築経験者募集。外国籍・年齢不問で2名募集。単価75万目安。神谷町勤務。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, 仮想基盤, ミドルウェア","西葛西常駐, 2026年1月～7月末, 1名募集, 面談2回, 55歳まで, 外国籍不可, 自走可能, コミュニケーション能力, 基盤更改, マイグレーション案件",75～80万円,コンプライアンスWAN更改案件における基盤更改（OS・ミドルウェアのマイグレーション）プロジェクト。RHEL、Oracle DB、Apache、Tomcat、Java等の環境で、Linux設計構築経験が必須。西葛西常駐で2026年1月～7月末までの期間、単価75～80万円。自走できコミュニケーション能力のある方を募集。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, struts, 仮想基盤, ミドルウェア","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 面談: 2回, 商流: 元請け→上位→GFD, 年齢制限: 55歳まで, 外国籍: 不可, 募集人数: 1名, 精算: 140-180, サイト: 45日, 就業時間: 9:30～18:00, 商流制限: 貴社所属まで, 自走できる方, コミュニケーション能力",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、既存システムのマイグレーション（RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, フレームワーク）。Linux設計構築、仮想基盤・ミドルウェア設定経験、自走・コミュニケーション能力が必須。西葛西常駐、2026年1月～7月末、単価75～80万円。"
"Red Hat Enterpprise Linux, Windows server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, Veeam Backup & Replication(エージェント), PostgreSQL(Veeam動作用), Red Hat Ansible Automation Platform, ETERNUS SF Storege Cruiser, Infrastructure Manager Advanced Edition, 運用設計（監視・ジョブ等）, 仮想ストレージ設計, メインフレームからの移行案件の経験",案件名: 官公庁データ管理システムのモダナイゼーション。メインフレーム基盤からオープン基盤へのリプレースにおける運用設計・仮想化基盤担当。2026年1月～長期。場所: 東中野。募集人数: 複数名。面談: 1回（現地対面、18日19時設定済み）。勤務時間: 9:00～17:50。外国籍不可。エンド直案件。,65~70万※スキルによって上振れあり,官公庁データ管理システムのモダナイゼーション案件で、メインフレームからオープン基盤へのリプレースにおける運用設計・仮想化基盤担当エンジニアを複数名募集。単価は65～70万円で、インフラ設計経験者を求む。
"仮想デスクトップ系ソリューション運用・構築, Windowsクライアント運用・構築, バッチ系スクリプト, PowerShell, Windowsサーバ構築, 仮想化基盤運用・構築, クライアント管理ツール, Active Directory, 障害対応","外国籍可, 国籍・年齢不問, 長期安定案件, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 休日・夜間作業可能性あり",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守・更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。
"インフラ, Linux (設計構築), RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, Struts, 仮想基盤","西葛西常駐, 2026年1月～7月末, 面談2回, 商流制限あり(貴社所属まで), 55歳まで, 外国籍不可, 自走・コミュニケーション能力重視, リーダー経験尚可",75～80万円,コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、基盤更改に伴うマイグレーション業務。Linux設計構築経験と仮想基盤経験が必須。自走・コミュニケーション能力重視。西葛西常駐、単価75～80万円、1名募集。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, FINALUNA, Struts, TERASOLUNA Server Framework for Java, Spring MVC, Java, OpenJDK, 仮想基盤","期間:2026年1月～7月末まで, 場所:西葛西(常駐), 募集人数:1名, 面談:2回(web・対面未定), 商流:元請け→上位→GFD, 年齢制限:55歳まで, 商流制限:貴社所属まで, 外国籍制限:不可, 自走してコミュニケーションが取れる方, リーダー経験, 指示待ち不可, 健康面で不安のない方",75～80万円,コンプライアンスWAN更改案件。株式市場での不正行為情報共有システムにおける基盤更改で、仮想基盤上のOS・ミドルウェア設定、データ移行、既存ソースのマイグレーション（ミドルバージョンアップ・フレームワーク変更）を担当。Linux設計構築経験が最重要で、自走できるリーダー候補を募集。
"Linux, RHEL, Oracle DB, Apache, Tomcat, Java, Spring MVC, 仮想基盤","インフラ, リーダー経験, 自走可能, コミュニケーション能力, 西葛西常駐, 2026年1月～7月末, 1名募集, 面談2回, 商流制限あり, 年齢制限55歳まで, 外国籍不可",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、既存システムのマイグレーション（RHEL, Oracle, Apache, Tomcat, Java, Spring MVCなど）。Linux設計構築経験が最重要。西葛西常駐、2026年1月～7月末、単価75～80万円。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, Spring MVC, Java, OpenJDK, 仮想基盤","期間: 2026年1月～7月末, 場所: 西葛西常駐, 面談: 2回, 募集人数: 1名, 年齢制限: 55歳まで, 外国籍不可, 商流制限: 貴社所属まで, 必須: Linux設計構築経験, 仮想基盤OS/MW設定経験, 自走可能, コミュニケーション能力",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行。既存システムのマイグレーション（RHEL, Oracle DB, Apache, Tomcat, Spring MVC, Javaのバージョンアップ）。Linux設計構築経験が最重要で、自走できる方を募集。"
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory","外国籍可, 基盤運用・保守, 大規模ユーザー環境, 長期安定, 神谷町, 2名募集, 即日～長期, 国籍・年齢不問, 休日/夜間作業可能性あり, エンド直",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守／更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期案件。神谷町勤務、2名募集、単価75万目安。外国籍・年齢不問。
"仮想デスクトップ, Windowsクライアント, Windowsサーバ, PowerShell, 仮想化基盤, Active Directory","大規模ユーザー環境のクライアント基盤運用・保守/更改案件, 長期安定, 勤務地:神谷町, 人数:2名, 国籍・年齢不問, 休日/夜間作業可能性あり",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップ、Windowsクライアント、Windowsサーバの運用・構築経験者を募集。神谷町勤務、即日～長期、2名体制。単価75万（スキル見合い）。国籍・年齢不問。
"Red Hat Enterprise Linux, Windows server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storage Cruiser, Infrastructure Manager Advanced Edition, 運用設計, 仮想ストレージ設計, メインフレームからの移行案件経験","案件名: 官公庁データ管理システムのモダナイゼーション, 案件内容: メインフレーム基盤からオープン基盤へのリプレース、運用設計＋仮想化基盤担当、構築チーム追加(4月～), 時期: 2026年1月～長期, 場所: 東中野, 募集人数: 複数名, 面談: 1回、現地対面面談（11日19:00~設定済み）, 備考: 勤務時間9:00～17:50, 外国籍不可, 面談設定済み",65~70万※スキルによって上振れあり,"官公庁データ管理システムのメインフレームからオープン基盤へのリプレース案件。運用設計と仮想化基盤を担当するエンジニアを複数名募集。Red Hat Linux, Windows Server, VMware等のインフラ設計スキルが必須。単価65-70万、2026年1月～長期、東中野勤務。面談設定済み。"
"Red Hat Enterpprise Linux, Windows server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, Veeam Backup & Replication(エージェント), PostgreSQL(Veeam動作用）, Red Hat Ansible Automation Platform, ETERNUS SF Storege Cruiser, Infrastructure Manager Advanced Edition, 運用設計（監視・ジョブ等）, 仮想ストレージ設計, メインフレームからの移行案件の経験","案件名: 官公庁データ管理システムのモダナイゼーション, 時期: 2026年1月～長期, 場所: 東中野, 募集人数: 複数名, 面談: 1回現地対面面談(11日19:00~設定済み), 備考: 勤務時間9:00～17:50, 外国籍不可",65~70万※スキルによって上振れあり,"官公庁データ管理システムのモダナイゼーション案件で、インフラ設計経験者を複数名募集。Red Hat Linux, Windows Server, VMware等のスキルが必須。単価は65~70万。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 面談: 2回(Web・対面未定), 募集人数: 1名, 年齢制限: 55歳まで, 商流制限: 貴社所属まで, 外国籍制限: 不可, 求める人物像: 自走できる方, コミュニケーション能力, リーダー経験尚可","単価: 75～80万円, 精算: 140-180",コンプライアンスWAN更改案件。株式市場での不正行為情報共有システム基盤更改における、既存システムのOS・ミドルウェア・DB・APサーバ・Webサーバ・フレームワーク・Javaのマイグレーション作業。Linux設計構築経験が最重要。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory","大規模クライアント基盤運用・保守/更改案件, VDI環境, 神谷町, 2名募集, 即日～長期, 国籍・年齢不問, 休日/夜間作業可能性あり",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。VDI環境の更新、OS/アプリの更新、パッチ適用、障害対応、構築支援など。神谷町勤務。2名募集。単価75万円目安。国籍・年齢不問。
"Red Hat Enterprise Linux, Windows Server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storege Cruiser, Infrastructure Manager Advanced Edition, Powershell, 運用設計, 仮想ストレージ設計, メインフレームからの移行経験",官公庁データ管理システムのモダナイゼーション、メインフレームからオープン基盤へのリプレース、運用設計チーム2名、構築チーム1名、東中野常駐、2026年1月～長期、面談1回（現地対面）、商流貴社まで（1社先可）、外国籍・個人不可、面談設定済み,運用設計チーム: スキル見合い～70万円、構築チーム: スキル見合い～65万円（応相談）,EBAテックからの官公庁データ管理システムモダナイゼーション案件。メインフレームからオープン基盤へのリプレースに伴い、運用設計（2名）と構築（1名）を募集。Linux/Windows/VMware等のスキル必須。東中野常駐の長期案件で、面談設定済み。
"ネットワーク設計構築（FW, L3, L2, AP, 無線LAN）、Windows, Linux, 仮想基盤",期間: 2026年1月～2026年3月（スライド可能性あり）、作業場所: 飯田橋（週2～3リモート可）、客先対応あり（虎ノ門）、商流制限: 貴社まで、外国籍不可、個人事業主相談可、年齢制限: ～45歳まで,～65万,"官公庁向けネットワーク更改案件における設計構築要員。FW, L3, L2, AP等の設計構築、現地対応、ベンダ調整、成果物作成。"
"Linux, RHEL, Oracle, Apache, Tomcat, WebSphere, Java, Spring, Struts, 仮想基盤, ミドルウェア","期間: 2026年1月～7月末まで, 場所: 西葛西(常駐), 募集人数: 1名, 面談: 2回(web・対面未定), 商流: 元請け→上位→GFD, 年齢制限: 55歳まで, 外国籍制限: 不可, 求める人物像: 自走できる方, コミュニケーションが取れる方, 指示待ち不可, 健康面で不安のない方","単価: 75～80万円, 精算: 140-180","コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行を含む既存システムのマイグレーション（RHEL, Oracle, Apache, Tomcat, WebSphere, Java, Spring, Strutsのバージョンアップ）。Linux設計構築経験が最重要。自律的に業務を進め、円滑なコミュニケーションが取れる方を募集。"
"Oracle, ネットワーク, 仮想サーバ","期間: 2026年1月～長期, 勤務地: 丸の内、虎ノ門ヒルズ（当番時は自宅待機あり）, 勤務時間: 9:00-17:30 (当番制で24時間365日対応), 年代: 20代前半～40代前半, フリーランス: 可, 外国籍: 不可, 精算方法: 140-180, その他: ドキュメント作成経験、チームワーク、コミュニケーションスキル",40万円～45万円,公共インフラの利用料金収拾システムの保守運用業務。Oracle Exadataシステム、Cisco Network機器、F5 LB、DELL Poweredge等の障害対応（ログ取得、原因救命、ベンダーエスカレーション）、計画作業、ドキュメント作成。24時間365日当番制（シフト制）。
"仮想デスクトップサーバー (Citrix, Nutanix, VMware Horizon) 構築, Windowsサーバー構築, PowerShell実務, スクリプト作成, (尚可) WindowsサーバーFU適応, (尚可) 障害対応2次切り分け","案件名: 商社向け基盤更改支援作業, 期間: 即日または1月～長期, 人数: 1名, 場所: 外苑前または神谷町 (出社), 精算: 140-200h, 面談: 1回 (上位同席), 時間: 9:00～17:30, 備考: 外国籍不可, 休日出勤年1回程度, 夜間作業月0～1回程度, 作業内容: FU展開, スクリプト作成, 保守 (障害調査・設定変更・リリース, パッチ適応, バッチ改修・テスト)","スキル①: 65～70万目安, スキル②: 60～65万目安",商社向け基盤更改支援作業のインフラ案件。仮想デスクトップサーバー、Windowsサーバー、PowerShellの実務経験者を募集。構築メインとスクリプト・保守メインの2つのスキルセットで募集。
"Linux, RHEL, Oracle DB, Apache, Tomcat, Java, Spring, WebSphere, 仮想基盤","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 面談: 2回, 募集人数: 1名, 年齢制限: 55歳まで, 商流制限: 貴社所属まで, 外国籍制限: 不可, 求める人物像: 自走できコミュニケーションが取れる方, 業務内容: コンプライアンスWAN更改における基盤マイグレーション",75～80万円,"コンプライアンスWAN更改案件。RHEL, Oracle, Apache, Tomcat, Java等の基盤マイグレーション。Linux設計構築経験が最重要。西葛西常駐、2026年1月～7月末、単価75～80万円。自走できコミュニケーション能力のある55歳までのエンジニアを募集。"
"仮想デスクトップ系ソリューション運用/構築経験, Windowsクライアント(最新OS)運用/構築, バッチ系スクリプト, PowerShell読み書き, Windowsサーバ構築経験, 仮想化基盤(主要ベンダー製品)運用/構築, クライアント管理ツール知識/経験, Active Directory知識, 障害対応経験","外国籍可, 国籍・年齢不問, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 勤務時間:平日日勤帯(休日/夜間作業の可能性あり), 大規模ユーザー環境のクライアント基盤運用・保守/更改案件, 長期安定案件",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。神谷町勤務で、即日～長期、2名募集。単価はスキル見合い（75万）。外国籍・年齢不問。
"Oracle (OEMオペレーション, AWRレポート), ネットワーク, 仮想サーバ基盤, ドキュメント作成","期間: 2026年1月～長期, 場所: 丸の内, 虎ノ門ヒルズ (24時間365日当番制、自宅待機あり), 年齢層: 20代前半～40代前半, フリーランス: 可, 外国籍: 不可, 精算: 140-180, その他: 健康, チームワーク, コミュニケーションスキル",40万円～45万円,公共インフラの利用料金収拾システムの保守運用業務。OracleExadataシステム、Cisco社製Network機器、F5 LB、DELL Poweredge等の障害対応、運用作業、ドキュメント作成を担当。24時間365日当番制で、Oracle運用経験が必須。
"ネットワーク詳細設計・構築・試験経験, 無線LAN構築経験, 設計資料レビュー経験, 品質を意識した成果物作成経験, SV設計/構築/試験経験 (Windows, Linux, 仮想基盤), FW, L3, L2, AP","案件名: ネットワーク更改案件における設計構築要員（官公庁）, 業務内容: 行政機関向けネットワーク更改案件の設計構築および現地対応、下請けベンダとの調整、成果物作成, 期間: 2026年1月～2026年3月 (スライド可能性あり), 作業場所: 飯田橋 (週2～3回リモート可), 募集人数: 1名, 面談: 1～2回 (Web), 備考: 月数回の客先対応あり（虎ノ門）, 商流制限: 貴社まで, 外国籍不可, 個人事業主相談可, ～45歳まで",～65万,官公庁向けネットワーク更改案件の設計構築要員募集。飯田橋勤務、週2～3回リモート可。単金～65万。ネットワーク設計・構築経験が必須。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤",コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション業務。Linux設計構築経験必須。西葛西常駐、2026年1月～7月末、1名募集。面談2回。年齢55歳まで、外国籍不可。自走できる方、コミュニケーション能力重視。,75～80万円,GFDからのインフラ案件募集。コンプライアンスWAN更改における仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション業務。Linux設計構築経験者を求む。単価75～80万円。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","常駐, 西葛西, 1名, 面談2回, 55歳まで, 自社所属まで, 外国籍不可, 自走可能, コミュニケーション能力, 健康面問題なし",75～80万円,コンプライアンスWAN更改案件。株式市場での不正行為情報共有システムにおける基盤更改。既存ソースのマイグレーション（ミドルバージョンアップ・フレームワーク変更）が主な業務。OS、DB、APサーバ、Webサーバ、フレームワーク、Javaのバージョンアップ。Linux設計構築経験が最重要。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, 仮想基盤, ミドルウェア","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 面談: 2回, 募集人数: 1名, 年齢制限: 55歳まで, 商流制限: 貴社所属まで, 外国籍不可, 自走・コミュニケーション能力重視, リーダー経験尚可","単価: 75～80万円, 精算: 140-180","株式市場の不正行為情報共有システムにおける基盤更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行が主な業務。RHEL, Oracle, Apache, Tomcat, Java, Spring MVCなどを用いたマイグレーション作業。Linux設計構築経験と仮想基盤上のOS/ミドルウェア設定経験が必須。自走できる方を募集。"
"ネットワーク詳細設計・構築・試験, 無線LAN構築, 設計資料レビュー, FW, L3, L2, AP, Windows, Linux, 仮想基盤","期間: 2026年1月～2026年3月 (スライド可能性あり), 作業場所: 飯田橋/リモート週2-3回, 募集人数: 1名, 面談: 1-2回(Web), 客先対応(虎ノ門)月数回, 商流制限: 貴社まで, 外国籍不可, 個人事業主相談可, 年齢制限: ～45歳",～65万,"官公庁向けネットワーク更改案件における設計構築要員。行政機関向けネットワーク機器（FW, L3, L2, AP等）の設計構築、現地対応、下請けベンダとの作業調整、成果物作成。"
"C++, 画面設計, Windowsデスクトップアプリケーション開発, 結合テスト, Backlog, Redmine, C#, WPF, 要件定義, Git/GitHub, 仮想環境","期間:1月（中旬）～長期, 場所:基本フルリモート（スキルにより秋葉原出社可能性あり）, 人数:1名, 精算:140h-180h（上下割）, 面談:1回（Web）, 個人事業主:可, 外国籍:不可, 服装:オフィスカジュアル, コミュニケーション良好, 勤怠良好, 案件内容:デスクトップアプリケーション開発（エンド製品のWindowsアプリケーション開発、実現可能性調査、仮説検証）, 工程:要件定義、外部設計～テストまでの一連の開発工程",60万円程度,EBAテック株式会社からのデスクトップアプリケーション開発案件の募集。C++、画面設計、Windowsデスクトップアプリケーション開発経験者を求めており、基本フルリモート、単価60万円程度の案件です。個人事業主も可。
"Red Hat Enterprise Linux, Windows server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storage Cruiser, Infrastructure Manager Advanced Edition, 運用設計, 仮想ストレージ設計, メインフレームからの移行経験","案件名: 官公庁データ管理システムのモダナイゼーション, 案件内容: メインフレーム基盤からオープン基盤へのリプレース、運用設計＋仮想化基盤担当, 時期: 2026年1月～長期, 場所: 東中野, 募集人数: 複数名, 面談: 1回（現地対面）, 勤務時間: 9:00～17:50, 外国籍不可, エンド直案件",65~70万※スキルによって上振れあり,"EBAテック株式会社が、ネクスライド株式会社に対し、官公庁データ管理システムのモダナイゼーション案件（インフラ/設計・構築）の要員募集を行っている。Red Hat Linux, Windows Server, VMware等のインフラ設計スキルを持つエンジニアを複数名募集。単価は65～70万円。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere Application Server, IBM HTTP Server, Java, Spring MVC, Struts, TERASOLUNA, FINALUNA, 仮想基盤","場所: 西葛西（常駐）, 期間: 2026年1月～7月末, 募集人数: 1名, 面談: 2回（Web・対面未定）, 年齢制限: 55歳まで, 外国籍制限: 不可, 商流制限: 貴社所属まで, 必須要件: Linux設計構築経験（最重要）, 仮想基盤上のOS・ミドルウェア設定経験, 自走してコミュニケーションが取れる方, 備考: 自発的なコミュニケーションと自走が求められる、健康面で不安のない方",75～80万円,"株式市場での不正行為情報共有システム「コンプライアンスWAN更改」における基盤更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、および既存システムのマイグレーション（RHEL, Oracle DB, Apache, Tomcat, WebSphere, TERASOLUNA, Spring MVC, Javaなど）を担当。Linux設計構築経験が最重要視される。"
"NW設計構築, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤","飯田橋(週2-3リモート), フレックス可, 面談1回(Web), 45歳まで, 外国籍不可, 商流不問(浅め希望), 増員枠, 官公庁向け, 月数回客先対応(虎ノ門)",65万円程度,官公庁向けネットワーク更改案件のNW設計構築要員募集。FW/L3/L2/AP/無線LAN等の設計・構築・試験、下請けベンダー調整、現地対応。飯田橋(週2-3リモート)で単価65万円程度。
"Linux, RHEL, 仮想基盤, Oracle DB, Apache, Tomcat, WebSphere, Java, OpenJDK, Spring MVC, TERASOLUNA","案件名: コンプライアンスWAN更改, 業務内容: 仮想基盤上のOS・ミドルウェア設定、データ移行、基盤更改、マイグレーション（RHEL, Oracle, Apache, Tomcat, WebSphere, Java, フレームワーク）, 必須スキル: Linux設計構築経験(最重要), 仮想基盤上のOS・ミドルウェア設定経験, 自走してコミュニケーションが取れる方, 尚可スキル: 仮想基盤上のOS、ミドルウェア設定経験, 場所: 西葛西（常駐）, 期間: 2026年1月～7月末, 募集人数: 1名, 面談: 2回（Web・対面未定）, 商流: 元請け→上位→GFD, 年齢制限: 55歳まで, 商流制限: 貴社所属まで, 外国籍制限: 不可, 備考: 自発的にコミュニケーションが取れ、自走できる方、適宜打合せを実施し、要件要望を抽出し解決できる方、健康面で不安のない方",75～80万円 (精算: 140-180),GFD社からの案件紹介。コンプライアンスWAN更改プロジェクトで、RHEL、Oracle DB、Apache、Tomcat、Javaなどの環境におけるOS・ミドルウェア設定、データ移行、基盤更改、マイグレーション業務を担当するインフラエンジニアを募集。Linux設計構築経験が最重要で、自走できるコミュニケーション能力も必須。西葛西常駐、2026年1月～7月末、単価75～80万円、面談2回。
"ネットワーク (FW, L3, L2, AP, 無線LAN), Windows, Linux, 仮想基盤",官公庁向けNW更改案件、飯田橋（週2-3リモート）、フレックス可、面談1回、45歳まで、商流不問（浅め希望）、外国籍不可、増員枠,65万円程度（スキル見合い）,株式会社ヘルスベイシスからの、官公庁向けネットワーク更改案件におけるNW設計構築要員（1名）の募集依頼。単価65万円程度、飯田橋（週2-3リモート）、45歳まで。
"仮想デスクトップ系ソリューション運用・構築, Windowsクライアント運用・構築, バッチ系スクリプト, PowerShell, Windowsサーバ構築, 仮想化基盤運用・構築, クライアント管理ツール, Active Directory, 障害対応","外国籍可, 大規模ユーザー環境のクライアント基盤運用・保守/更改, 長期安定案件, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 勤務時間:平日日勤帯(休日・夜間作業可能性あり), 国籍・年齢不問, エンド直案件",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。神谷町勤務で、即日～長期、2名募集。単価はスキル見合い（75万）。
"ネットワーク, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤, SV設計","期間: 2026年1月～2026年3月 (終了後別案件へのスライド可能性あり), 作業場所: 飯田橋 (週2～3回リモート可), 募集人数: 1名, 面談: 1～2回 (Web), 備考: 月数回の客先対応あり (虎ノ門), 商流制限: 貴社まで, 外国籍不可, 個人事業主相談可, 年齢制限: ～45歳まで",～65万,"官公庁向けネットワーク更改案件における設計構築要員募集。FW, L3, L2, AP等の設計構築、現地対応、成果物作成。飯田橋またはリモートでの作業。"
"C++, C#, WPF, 画面設計, 外部設計, Windowsデスクトップアプリ開発, 結合テスト, Backlog, Redmine, Git, GitHub, 仮想環境","フルリモート, 長期, 1名, 140-180h上下割, 面談1回(Web), フリーランス可, 外国籍不可, コミュニケーション良好, 勤怠良好",60万円程度,Windowsデスクトップアプリケーション開発案件。C++での外部設計、画面設計、実装経験が必須。基本フルリモートで長期。単価60万円程度。フリーランス可。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, 仮想基盤, ミドルウェア",コンプライアンスWAN更改プロジェクトにおける基盤更改・マイグレーション業務。西葛西常駐、2026年1月～7月末。募集1名。面談2回。自走できる方、コミュニケーション能力重視。年齢55歳まで、外国籍不可。,75～80万円,"GFDからのインフラ案件。コンプライアンスWAN更改プロジェクトにおけるLinux基盤のマイグレーション業務。RHEL, Oracle DB, Apache, Tomcat, Java等のスキルが必須。西葛西常駐、2026年1月～7月末。単価75～80万円。自走できる方を募集。"
"ネットワーク知識（TCP/IPやDNS、ルーティング等）, ハードウェア知識（サーバ、ストレージ、ネットワーク機器）, サーバ運用経験（監視・障害対応・システム監視）, 仮想化技術（Vmwareベース）, 障害検知、切り分け、対応、トラブルシューティング能力, ドキュメンテーション・コミュニケーション, 運用手順書・設計書の作成・更新, バックアップ・リカバリ設計・運用, 継続的な学習意欲","期間: 26年1月以降～, 勤務地: 名古屋（一部現地対応あり）, 募集人数: 2名, 面談: 1回, 契約形態: 業務委託契約(準委任), 精算方法: 140H-180H, フリーランス: 可, 外国籍: 不可, セット提案: 可, 服装: オフィスカジュアル, サービス時間: 顧客稼働日の08:25～17:10, 計画的なイベント対応に伴う休日対応あり",スキル見合い,製造業向けインフラ基盤（仮想基盤、ADサーバ、監視サーバ、Azure）の運用支援案件。ITIL基準のインシデント対応、要求実現、キャパシティ管理、問題管理、変更管理、資産管理、イベント対応、報告対応などを行う部隊のメンバーを募集。
"Azure詳細設計, 仮想基盤, ネットワーク","週2出社（水・金）, 大崎エリア, 即日開始, 長期, 外国籍不可, 弊社交代枠",80万円程度,Azure環境におけるネットワーク詳細設計とVM払い出し支援。オンプレ共存環境での設計、ドキュメント作成、調整業務を含む。Azure詳細設計と仮想基盤経験が必須。
"NW設計構築, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤","リモート併用(週2～3日飯田橋), フレックス可, 面談1回(Web), 募集1名(増員枠), 45歳まで, 商流不問(浅め希望), 外国籍不可, 月数回客先対応(虎ノ門)",65万円程度（スキル見合い）,官公庁向けネットワーク更改プロジェクトにおけるNW設計・構築支援案件。FW/L3/L2/AP/無線LAN等の設計・構築・試験、現地対応、ベンダー調整を担当。飯田橋（週2～3日リモート）勤務。
